交易所,代码,公司,行业,PE,股息率,净利润率,毛利率,PB,ROE_TTM_2020,ROE_TTM_2019,ROE_TTM_2018,ROE_TTM_2017,ROE_TTM_2016,ROE_TTM_2015,净利润2020,净利润2019,净利润2018,净利润2017,净利润2016,每股收益2020TTM,每股收益2020,关注度
sh,="600789",鲁抗医药,化学制剂,107.0943,0.0047,0.0228,0.2616,2.8314,0.0272,0.0413,0.0829,0.02,0.0057,-0.073,78986571,119014606,191755635,38064929.22,9200246.29,0.0897,0.1377,166
sh,="603676",卫信康,化学制剂,106.6292,0.0039,0.0646,0.4646,5.3497,0.0498,0.0666,,,,,46255447,60223087,115065826,,,0.1094,0.1316,59
sh,="600592",龙溪股份,通用机械,106.3318,0.0089,-0.0212,0.2433,2.5627,-0.0097,0.0938,0.044,0.0306,0.0108,0.0091,-9871230,189438764,86554398,67833768.97,42941400.69,-0.0247,0.3663,42
sz,="002189",中光学,光电子器件,106.3195,0.0054,0.02,0.1572,4.069,0.0363,0.1897,0.0454,0.0301,0.0265,0.0316,49886205,178012747,25790742,20319738.5,16429298.09,0.19,0.3738,164
sz,="002910",庄园牧场,食品,105.7356,0.0044,0.0295,0.2897,1.9748,0.0186,0.0547,,,,,22480789,64284315,68094453,,,0.1179,0.2691,73
sz,="002758",华通医药,药品流通,105.7354,0.007,0.0113,0.154,3.895,0.0271,0.0475,0.0633,0.0736,0.1161,,21188573,34604926,39599049,41082479.23,47069808.11,0.1079,0.1192,82
sh,="600623",华谊集团,化学制品,105.4956,0.0175,0.0014,0.0825,0.6693,0.0023,0.0772,0.0344,0.0295,0.071,0.0464,113750652,1662813079,822489470,517157236.38,936676257.71,0.054,0.2969,140
sh,="603127",昭衍新药,生物科技,105.4508,0.0028,0.2572,0.5189,24.1997,0.2488,0.1899,,,,,185480075,111607051,92134651,,,1.1469,1.103,778
sz,="300750",宁德时代,电气部件与设备,105.2368,0.0011,0.1071,0.2834,7.7331,0.1197,0.137,,,,,4255117389,4020921276,4302989944,,,1.9268,2.065,1725
sz,="000862",银星能源,电力公用事业,105.1141,0,0.0201,0.317,1.1373,0.0099,0.0157,-0.0648,0.0464,-0.1168,0.0331,,45892739,-178194568,92892443.19,-190803843.92,0.0402,0.041,72
sz,="002791",坚朗五金,建筑材料,104.6917,0.001,0.0841,0.3979,14.6694,0.1455,0.0755,0.0619,0.1074,,,440854890,208144961,159024050,257267808.69,,1.3711,1.3663,164
sz,="300651",金陵体育,休闲设备与用品,104.4548,0.0029,0.0881,0.3385,6.8179,0.0643,0.0558,0.0914,,,,43016354,35520556,44011037,,,0.3341,0.3301,45
sh,="600880",博瑞传播,传媒,104.3917,0.0042,0.1232,0.4026,1.8317,0.0179,-0.2467,0.0134,0.0093,0.007,0.0662,50062675,-825745185,59574444,43324408.75,44271080.45,0.0458,0.0604,249
sz,="002891",中宠股份,食品,104.2421,0.0012,0.0532,0.2465,10.6598,0.0986,0.0669,,,,,80434793,50673304,64164858,,,0.4731,0.4647,307
